FECHA_VST,0,1,2,3,4
2017-01-06,398,515,0,1,477
2017-01-07,515,0,1,477,0
2017-01-08,0,1,477,0,572
2017-01-09,1,477,0,572,528
2017-01-10,477,0,572,528,0
2017-01-11,0,572,528,0,271
2017-01-12,572,528,0,271,461
2017-01-13,528,0,271,461,0
2017-01-14,0,271,461,0,0
2017-01-15,271,461,0,0,0
2017-01-16,461,0,0,0,0
2017-01-17,0,0,0,0,0
2017-01-18,0,0,0,0,0
2017-01-19,0,0,0,0,0
2017-01-20,0,0,0,0,0
2017-01-21,0,0,0,0,0
2017-01-22,0,0,0,0,0
2017-01-23,0,0,0,0,0
2017-01-24,0,0,0,0,0
2017-01-25,0,0,0,0,0
2017-01-26,0,0,0,0,0
2017-01-27,0,0,0,0,0
2017-01-28,0,0,0,0,0
2017-01-29,0,0,0,0,0
2017-01-30,0,0,0,0,0
2017-01-31,0,0,0,0,0
2017-02-01,0,0,0,0,0
2017-02-02,0,0,0,0,406
2017-02-03,0,0,0,406,458
2017-02-04,0,0,406,458,0
2017-02-05,0,406,458,0,606
2017-02-06,406,458,0,606,515
2017-02-07,458,0,606,515,0
2017-02-08,0,606,515,0,357
2017-02-09,606,515,0,357,0
2017-02-10,515,0,357,0,390
2017-02-11,0,357,0,390,0
2017-02-12,357,0,390,0,1
2017-02-13,0,390,0,1,579
2017-02-14,390,0,1,579,582
2017-02-15,0,1,579,582,660
2017-02-16,1,579,582,660,633
2017-02-17,579,582,660,633,502
2017-02-18,582,660,633,502,0
2017-02-19,660,633,502,0,0
2017-02-20,633,502,0,0,573
2017-02-21,502,0,0,573,540
2017-02-22,0,0,573,540,339
2017-02-23,0,573,540,339,418
2017-02-24,573,540,339,418,425
2017-02-25,540,339,418,425,0
2017-02-26,339,418,425,0,0
2017-02-27,418,425,0,0,0
2017-02-28,425,0,0,0,0
2017-03-01,0,0,0,0,5
2017-03-02,0,0,0,5,587
2017-03-03,0,0,5,587,573
2017-03-04,0,5,587,573,591
2017-03-05,5,587,573,591,449
2017-03-06,587,573,591,449,4
2017-03-07,573,591,449,4,588
2017-03-08,591,449,4,588,406
2017-03-09,449,4,588,406,0
2017-03-10,4,588,406,0,428
2017-03-11,588,406,0,428,0
2017-03-12,406,0,428,0,0
2017-03-13,0,428,0,0,704
2017-03-14,428,0,0,704,733
2017-03-15,0,0,704,733,711
2017-03-16,0,704,733,711,637
2017-03-17,704,733,711,637,557
2017-03-18,733,711,637,557,0
2017-03-19,711,637,557,0,0
2017-03-20,637,557,0,0,600
2017-03-21,557,0,0,600,578
2017-03-22,0,0,600,578,679
2017-03-23,0,600,578,679,552
2017-03-24,600,578,679,552,522
2017-03-25,578,679,552,522,0
2017-03-26,679,552,522,0,0
2017-03-27,552,522,0,0,434
2017-03-28,522,0,0,434,259
2017-03-29,0,0,434,259,386
2017-03-30,0,434,259,386,398
2017-03-31,434,259,386,398,195
2017-04-01,259,386,398,195,0
2017-04-02,386,398,195,0,0
2017-04-03,398,195,0,0,0
2017-04-04,195,0,0,0,614
2017-04-05,0,0,0,614,490
2017-04-06,0,0,614,490,0
2017-04-07,0,614,490,0,302
2017-04-08,614,490,0,302,501
2017-04-09,490,0,302,501,658
2017-04-10,0,302,501,658,513
2017-04-11,302,501,658,513,0
2017-04-12,501,658,513,0,641
2017-04-13,658,513,0,641,1
2017-04-14,513,0,641,1,0
2017-04-15,0,641,1,0,0
2017-04-16,641,1,0,0,0
2017-04-17,1,0,0,0,724
2017-04-18,0,0,0,724,735
2017-04-19,0,0,724,735,745
2017-04-20,0,724,735,745,689
2017-04-21,724,735,745,689,529
2017-04-22,735,745,689,529,0
2017-04-23,745,689,529,0,0
2017-04-24,689,529,0,0,599
2017-04-25,529,0,0,599,612
2017-04-26,0,0,599,612,530
2017-04-27,0,599,612,530,639
2017-04-28,599,612,530,639,504
2017-04-29,612,530,639,504,0
2017-04-30,530,639,504,0,0
2017-05-01,639,504,0,0,1
2017-05-02,504,0,0,1,0
2017-05-03,0,0,1,0,0
2017-05-04,0,1,0,0,615
2017-05-05,1,0,0,615,525
2017-05-06,0,0,615,525,552
2017-05-07,0,615,525,552,301
2017-05-08,615,525,552,301,0
2017-05-09,525,552,301,0,557
2017-05-10,552,301,0,557,662
2017-05-11,301,0,557,662,0
2017-05-12,0,557,662,0,447
2017-05-13,557,662,0,447,0
2017-05-14,662,0,447,0,0
2017-05-15,0,447,0,0,639
2017-05-16,447,0,0,639,703
2017-05-17,0,0,639,703,761
2017-05-18,0,639,703,761,717
2017-05-19,639,703,761,717,549
2017-05-20,703,761,717,549,0
2017-05-21,761,717,549,0,0
2017-05-22,717,549,0,0,579
2017-05-23,549,0,0,579,624
2017-05-24,0,0,579,624,505
2017-05-25,0,579,624,505,538
2017-05-26,579,624,505,538,20
2017-05-27,624,505,538,20,0
2017-05-28,505,538,20,0,0
2017-05-29,538,20,0,0,561
2017-05-30,20,0,0,561,533
2017-05-31,0,0,561,533,402
2017-06-01,0,561,533,402,0
2017-06-02,561,533,402,0,583
2017-06-03,533,402,0,583,302
2017-06-04,402,0,583,302,450
2017-06-05,0,583,302,450,0
2017-06-06,583,302,450,0,553
2017-06-07,302,450,0,553,310
2017-06-08,450,0,553,310,0
2017-06-09,0,553,310,0,417
2017-06-10,553,310,0,417,594
2017-06-11,310,0,417,594,491
2017-06-12,0,417,594,491,465
2017-06-13,417,594,491,465,684
2017-06-14,594,491,465,684,775
2017-06-15,491,465,684,775,773
2017-06-16,465,684,775,773,597
2017-06-17,684,775,773,597,0
2017-06-18,775,773,597,0,0
2017-06-19,773,597,0,0,668
2017-06-20,597,0,0,668,587
2017-06-21,0,0,668,587,655
2017-06-22,0,668,587,655,554
2017-06-23,668,587,655,554,579
2017-06-24,587,655,554,579,0
2017-06-25,655,554,579,0,0
2017-06-26,554,579,0,0,561
2017-06-27,579,0,0,561,589
2017-06-28,0,0,561,589,597
2017-06-29,0,561,589,597,473
2017-06-30,561,589,597,473,429
2017-07-01,589,597,473,429,0
2017-07-02,597,473,429,0,571
2017-07-03,473,429,0,571,340
2017-07-04,429,0,571,340,486
2017-07-05,0,571,340,486,0
2017-07-06,571,340,486,0,652
2017-07-07,340,486,0,652,306
2017-07-08,486,0,652,306,623
