FECHA_VST,0,1,2,3,4,5
2017-01-06,151,261,0,1,272,477
2017-01-07,261,0,1,272,0,0
2017-01-08,0,1,272,0,284,572
2017-01-09,1,272,0,284,273,528
2017-01-10,272,0,284,273,0,0
2017-01-11,0,284,273,0,133,271
2017-01-12,284,273,0,133,233,461
2017-01-13,273,0,133,233,0,0
2017-01-14,0,133,233,0,0,0
2017-01-15,133,233,0,0,0,0
2017-01-16,233,0,0,0,0,0
2017-01-17,0,0,0,0,0,0
2017-01-18,0,0,0,0,0,0
2017-01-19,0,0,0,0,0,0
2017-01-20,0,0,0,0,0,0
2017-01-21,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0
2017-01-23,0,0,0,0,0,0
2017-01-24,0,0,0,0,0,0
2017-01-25,0,0,0,0,0,0
2017-01-26,0,0,0,0,0,0
2017-01-27,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0
2017-01-30,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0
2017-02-02,0,0,0,0,132,406
2017-02-03,0,0,0,132,283,458
2017-02-04,0,0,132,283,0,0
2017-02-05,0,132,283,0,277,606
2017-02-06,132,283,0,277,306,515
2017-02-07,283,0,277,306,0,0
2017-02-08,0,277,306,0,131,357
2017-02-09,277,306,0,131,0,0
2017-02-10,306,0,131,0,182,390
2017-02-11,0,131,0,182,0,0
2017-02-12,131,0,182,0,1,1
2017-02-13,0,182,0,1,340,579
2017-02-14,182,0,1,340,316,582
2017-02-15,0,1,340,316,367,660
2017-02-16,1,340,316,367,355,633
2017-02-17,340,316,367,355,268,502
2017-02-18,316,367,355,268,0,0
2017-02-19,367,355,268,0,0,0
2017-02-20,355,268,0,0,312,573
2017-02-21,268,0,0,312,327,540
2017-02-22,0,0,312,327,116,339
2017-02-23,0,312,327,116,203,418
2017-02-24,312,327,116,203,204,425
2017-02-25,327,116,203,204,0,0
2017-02-26,116,203,204,0,0,0
2017-02-27,203,204,0,0,0,0
2017-02-28,204,0,0,0,0,0
2017-03-01,0,0,0,0,0,5
2017-03-02,0,0,0,0,295,587
2017-03-03,0,0,0,295,323,573
2017-03-04,0,0,295,323,286,591
2017-03-05,0,295,323,286,221,449
2017-03-06,295,323,286,221,0,4
2017-03-07,323,286,221,0,304,588
2017-03-08,286,221,0,304,198,406
2017-03-09,221,0,304,198,0,0
2017-03-10,0,304,198,0,198,428
2017-03-11,304,198,0,198,0,0
2017-03-12,198,0,198,0,0,0
2017-03-13,0,198,0,0,326,704
2017-03-14,198,0,0,326,317,733
2017-03-15,0,0,326,317,313,711
2017-03-16,0,326,317,313,285,637
2017-03-17,326,317,313,285,287,557
2017-03-18,317,313,285,287,0,0
2017-03-19,313,285,287,0,0,0
2017-03-20,285,287,0,0,278,600
2017-03-21,287,0,0,278,298,578
2017-03-22,0,0,278,298,326,679
2017-03-23,0,278,298,326,276,552
2017-03-24,278,298,326,276,288,522
2017-03-25,298,326,276,288,0,0
2017-03-26,326,276,288,0,0,0
2017-03-27,276,288,0,0,210,434
2017-03-28,288,0,0,210,180,259
2017-03-29,0,0,210,180,189,386
2017-03-30,0,210,180,189,170,398
2017-03-31,210,180,189,170,22,195
2017-04-01,180,189,170,22,0,0
2017-04-02,189,170,22,0,0,0
2017-04-03,170,22,0,0,0,0
2017-04-04,22,0,0,0,295,614
2017-04-05,0,0,0,295,179,490
2017-04-06,0,0,295,179,0,0
2017-04-07,0,295,179,0,20,302
2017-04-08,295,179,0,20,212,501
2017-04-09,179,0,20,212,315,658
2017-04-10,0,20,212,315,270,513
2017-04-11,20,212,315,270,0,0
2017-04-12,212,315,270,0,364,641
2017-04-13,315,270,0,364,0,1
2017-04-14,270,0,364,0,0,0
2017-04-15,0,364,0,0,0,0
2017-04-16,364,0,0,0,0,0
2017-04-17,0,0,0,0,345,724
2017-04-18,0,0,0,345,353,735
2017-04-19,0,0,345,353,359,745
2017-04-20,0,345,353,359,341,689
2017-04-21,345,353,359,341,258,529
2017-04-22,353,359,341,258,0,0
2017-04-23,359,341,258,0,0,0
2017-04-24,341,258,0,0,288,599
