FECHA_VST,0,1,2,3,4,5,6,7,8,9,10
2017-01-06,247,0,206,48,0,0,0,0,154,51,477
2017-01-07,206,48,0,0,0,0,154,51,0,0,0
2017-01-08,0,0,0,0,154,51,0,0,242,46,572
2017-01-09,0,0,154,51,0,0,242,46,212,43,528
2017-01-10,154,51,0,0,242,46,212,43,0,0,0
2017-01-11,0,0,242,46,212,43,0,0,100,38,271
2017-01-12,242,46,212,43,0,0,100,38,167,61,461
2017-01-13,212,43,0,0,100,38,167,61,0,0,0
2017-01-14,0,0,100,38,167,61,0,0,0,0,0
2017-01-15,100,38,167,61,0,0,0,0,0,0,0
2017-01-16,167,61,0,0,0,0,0,0,0,0,0
2017-01-17,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,0,0,0,0,0,0,0,0,0,0,0
2017-01-19,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0,0,0,0,0
2017-01-23,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,0,0,0,0,0,0,0,0,0,0,0
2017-01-25,0,0,0,0,0,0,0,0,0,0,0
2017-01-26,0,0,0,0,0,0,0,0,0,0,0
2017-01-27,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0,0,0,0,0,0
2017-01-30,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0
2017-02-02,0,0,0,0,0,0,0,0,274,0,406
2017-02-03,0,0,0,0,0,0,274,0,168,7,458
2017-02-04,0,0,0,0,274,0,168,7,0,0,0
2017-02-05,0,0,274,0,168,7,0,0,266,63,606
2017-02-06,274,0,168,7,0,0,266,63,158,51,515
2017-02-07,168,7,0,0,266,63,158,51,0,0,0
2017-02-08,0,0,266,63,158,51,0,0,166,60,357
2017-02-09,266,63,158,51,0,0,166,60,0,0,0
2017-02-10,158,51,0,0,166,60,0,0,162,46,390
2017-02-11,0,0,166,60,0,0,162,46,0,0,0
2017-02-12,166,60,0,0,162,46,0,0,0,0,1
2017-02-13,0,0,162,46,0,0,0,0,239,0,579
2017-02-14,162,46,0,0,0,0,239,0,266,0,582
2017-02-15,0,0,0,0,239,0,266,0,293,0,660
2017-02-16,0,0,239,0,266,0,293,0,278,0,633
2017-02-17,239,0,266,0,293,0,278,0,234,0,502
2017-02-18,266,0,293,0,278,0,234,0,0,0,0
2017-02-19,293,0,278,0,234,0,0,0,0,0,0
2017-02-20,278,0,234,0,0,0,0,0,261,0,573
2017-02-21,234,0,0,0,0,0,261,0,213,0,540
2017-02-22,0,0,0,0,261,0,213,0,223,0,339
2017-02-23,0,0,261,0,213,0,223,0,215,0,418
2017-02-24,261,0,213,0,223,0,215,0,221,0,425
2017-02-25,213,0,223,0,215,0,221,0,0,0,0
2017-02-26,223,0,215,0,221,0,0,0,0,0,0
