FECHA_VST,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2017-01-06,0,151,247,48,261,206,0,0,0,0,1,0,51,272,154,477
2017-01-07,48,261,206,0,0,0,0,1,0,51,272,154,0,0,0,0
2017-01-08,0,0,0,0,1,0,51,272,154,0,0,0,46,284,242,572
2017-01-09,0,1,0,51,272,154,0,0,0,46,284,242,43,273,212,528
2017-01-10,51,272,154,0,0,0,46,284,242,43,273,212,0,0,0,0
2017-01-11,0,0,0,46,284,242,43,273,212,0,0,0,38,133,100,271
2017-01-12,46,284,242,43,273,212,0,0,0,38,133,100,61,233,167,461
2017-01-13,43,273,212,0,0,0,38,133,100,61,233,167,0,0,0,0
2017-01-14,0,0,0,38,133,100,61,233,167,0,0,0,0,0,0,0
2017-01-15,38,133,100,61,233,167,0,0,0,0,0,0,0,0,0,0
2017-01-16,61,233,167,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,132,274,406
2017-02-03,0,0,0,0,0,0,0,0,0,0,132,274,7,283,168,458
2017-02-04,0,0,0,0,0,0,0,132,274,7,283,168,0,0,0,0
2017-02-05,0,0,0,0,132,274,7,283,168,0,0,0,63,277,266,606
2017-02-06,0,132,274,7,283,168,0,0,0,63,277,266,51,306,158,515
2017-02-07,7,283,168,0,0,0,63,277,266,51,306,158,0,0,0,0
2017-02-08,0,0,0,63,277,266,51,306,158,0,0,0,60,131,166,357
2017-02-09,63,277,266,51,306,158,0,0,0,60,131,166,0,0,0,0
2017-02-10,51,306,158,0,0,0,60,131,166,0,0,0,46,182,162,390
2017-02-11,0,0,0,60,131,166,0,0,0,46,182,162,0,0,0,0
2017-02-12,60,131,166,0,0,0,46,182,162,0,0,0,0,1,0,1
2017-02-13,0,0,0,46,182,162,0,0,0,0,1,0,0,340,239,579
2017-02-14,46,182,162,0,0,0,0,1,0,0,340,239,0,316,266,582
2017-02-15,0,0,0,0,1,0,0,340,239,0,316,266,0,367,293,660
2017-02-16,0,1,0,0,340,239,0,316,266,0,367,293,0,355,278,633
2017-02-17,0,340,239,0,316,266,0,367,293,0,355,278,0,268,234,502
2017-02-18,0,316,266,0,367,293,0,355,278,0,268,234,0,0,0,0
2017-02-19,0,367,293,0,355,278,0,268,234,0,0,0,0,0,0,0
2017-02-20,0,355,278,0,268,234,0,0,0,0,0,0,0,312,261,573
2017-02-21,0,268,234,0,0,0,0,0,0,0,312,261,0,327,213,540
2017-02-22,0,0,0,0,0,0,0,312,261,0,327,213,0,116,223,339
2017-02-23,0,0,0,0,312,261,0,327,213,0,116,223,0,203,215,418
2017-02-24,0,312,261,0,327,213,0,116,223,0,203,215,0,204,221,425
2017-02-25,0,327,213,0,116,223,0,203,215,0,204,221,0,0,0,0
2017-02-26,0,116,223,0,203,215,0,204,221,0,0,0,0,0,0,0
2017-02-27,0,203,215,0,204,221,0,0,0,0,0,0,0,0,0,0
2017-02-28,0,204,221,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2017-03-02,0,0,0,0,0,0,0,0,0,0,0,5,0,295,292,587
2017-03-03,0,0,0,0,0,0,0,0,5,0,295,292,43,323,207,573
2017-03-04,0,0,0,0,0,5,0,295,292,43,323,207,69,286,236,591
2017-03-05,0,0,5,0,295,292,43,323,207,69,286,236,0,221,228,449
2017-03-06,0,295,292,43,323,207,69,286,236,0,221,228,3,0,1,4
2017-03-07,43,323,207,69,286,236,0,221,228,3,0,1,27,304,257,588
2017-03-08,69,286,236,0,221,228,3,0,1,27,304,257,56,198,152,406
2017-03-09,0,221,228,3,0,1,27,304,257,56,198,152,0,0,0,0
2017-03-10,3,0,1,27,304,257,56,198,152,0,0,0,0,198,230,428
2017-03-11,27,304,257,56,198,152,0,0,0,0,198,230,0,0,0,0
2017-03-12,56,198,152,0,0,0,0,198,230,0,0,0,0,0,0,0
2017-03-13,0,0,0,0,198,230,0,0,0,0,0,0,75,326,303,704
2017-03-14,0,198,230,0,0,0,0,0,0,75,326,303,73,317,343,733
2017-03-15,0,0,0,0,0,0,75,326,303,73,317,343,71,313,327,711
2017-03-16,0,0,0,75,326,303,73,317,343,71,313,327,66,285,286,637
2017-03-17,75,326,303,73,317,343,71,313,327,66,285,286,58,287,212,557
2017-03-18,73,317,343,71,313,327,66,285,286,58,287,212,0,0,0,0
2017-03-19,71,313,327,66,285,286,58,287,212,0,0,0,0,0,0,0
2017-03-20,66,285,286,58,287,212,0,0,0,0,0,0,66,278,256,600
2017-03-21,58,287,212,0,0,0,0,0,0,66,278,256,52,298,228,578
2017-03-22,0,0,0,0,0,0,66,278,256,52,298,228,64,326,289,679
2017-03-23,0,0,0,66,278,256,52,298,228,64,326,289,53,276,223,552
2017-03-24,66,278,256,52,298,228,64,326,289,53,276,223,5,288,229,522
2017-03-25,52,298,228,64,326,289,53,276,223,5,288,229,0,0,0,0
2017-03-26,64,326,289,53,276,223,5,288,229,0,0,0,0,0,0,0
2017-03-27,53,276,223,5,288,229,0,0,0,0,0,0,31,210,193,434
2017-03-28,5,288,229,0,0,0,0,0,0,31,210,193,24,180,55,259
2017-03-29,0,0,0,0,0,0,31,210,193,24,180,55,60,189,137,386
2017-03-30,0,0,0,31,210,193,24,180,55,60,189,137,59,170,169,398
2017-03-31,31,210,193,24,180,55,60,189,137,59,170,169,41,22,132,195
2017-04-01,24,180,55,60,189,137,59,170,169,41,22,132,0,0,0,0
2017-04-02,60,189,137,59,170,169,41,22,132,0,0,0,0,0,0,0
2017-04-03,59,170,169,41,22,132,0,0,0,0,0,0,0,0,0,0
2017-04-04,41,22,132,0,0,0,0,0,0,0,0,0,71,295,248,614
2017-04-05,0,0,0,0,0,0,0,0,0,71,295,248,59,179,252,490
2017-04-06,0,0,0,0,0,0,71,295,248,59,179,252,0,0,0,0
2017-04-07,0,0,0,71,295,248,59,179,252,0,0,0,56,20,226,302
2017-04-08,71,295,248,59,179,252,0,0,0,56,20,226,47,212,242,501
2017-04-09,59,179,252,0,0,0,56,20,226,47,212,242,49,315,294,658
2017-04-10,0,0,0,56,20,226,47,212,242,49,315,294,62,270,181,513
2017-04-11,56,20,226,47,212,242,49,315,294,62,270,181,0,0,0,0
2017-04-12,47,212,242,49,315,294,62,270,181,0,0,0,63,364,214,641
2017-04-13,49,315,294,62,270,181,0,0,0,63,364,214,1,0,0,1
2017-04-14,62,270,181,0,0,0,63,364,214,1,0,0,0,0,0,0
2017-04-15,0,0,0,63,364,214,1,0,0,0,0,0,0,0,0,0
2017-04-16,63,364,214,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-17,1,0,0,0,0,0,0,0,0,0,0,0,59,345,320,724
2017-04-18,0,0,0,0,0,0,0,0,0,59,345,320,70,353,312,735
2017-04-19,0,0,0,0,0,0,59,345,320,70,353,312,65,359,321,745
2017-04-20,0,0,0,59,345,320,70,353,312,65,359,321,75,341,273,689
2017-04-21,59,345,320,70,353,312,65,359,321,75,341,273,45,258,226,529
2017-04-22,70,353,312,65,359,321,75,341,273,45,258,226,0,0,0,0
2017-04-23,65,359,321,75,341,273,45,258,226,0,0,0,0,0,0,0
2017-04-24,75,341,273,45,258,226,0,0,0,0,0,0,60,288,251,599
2017-04-25,45,258,226,0,0,0,0,0,0,60,288,251,60,291,261,612
2017-04-26,0,0,0,0,0,0,60,288,251,60,291,261,52,217,261,530
2017-04-27,0,0,0,60,288,251,60,291,261,52,217,261,61,307,271,639
2017-04-28,60,288,251,60,291,261,52,217,261,61,307,271,58,306,140,504
2017-04-29,60,291,261,52,217,261,61,307,271,58,306,140,0,0,0,0
2017-04-30,52,217,261,61,307,271,58,306,140,0,0,0,0,0,0,0
2017-05-01,61,307,271,58,306,140,0,0,0,0,0,0,0,0,1,1
2017-05-02,58,306,140,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-05-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-05-04,0,0,0,0,0,1,0,0,0,0,0,0,58,291,266,615
2017-05-05,0,0,1,0,0,0,0,0,0,58,291,266,52,281,192,525
2017-05-06,0,0,0,0,0,0,58,291,266,52,281,192,46,226,280,552
2017-05-07,0,0,0,58,291,266,52,281,192,46,226,280,39,19,243,301
